Title,Page
William Wordsworth (1770-1850),1
The Reverie of Poor Susan,16
Expostulation and Reply,16
The Tables Turned,17
Lines composed near Tintern Abbey,18
Lines written in Early Spring,23
A Poet's Epitaph,24
"Lucy Gray; or, Solitude",26
Lucy,28
The Two April Mornings,30
The Fountain. A Conversation,32
There was a Boy,34
Influence of Natural Objects in calling forth and strengthening the Imagination in Boyhood and Early Youth,35
The Green Linnet,37
Yew Trees,38
To a Highland Girl,39
The Solitary Reaper,41
Yarrow Unvisited,42
To the Cuckoo,44
At the Grave of Burns,45
Thoughts suggested the day following,48
'She was a Phantom',50
'I wandered lonely',51
Ode to Duty,52
The Nightingale,53
The Mountain Echo,54
Ode. Intimations of Immortality,55
Laodamia,61
To —— [Miss Blackett] on her first Ascent to the Summit of Helvellyn,66
Evening Voluntary,67
Extracts from the Prelude:,
[Apparition on the Lake],70
[Morning after the Ball],72
[Defile of Gondo],72
[Ascent of Snowdon],73
Extracts from the Excursion:,
[Twin Peaks of the Valley],76
[Mist opening in the Hills],77
[Among the Mountains],78
[The Moon among Trees],79
[The Sea Shell],81
Sonnets:,
[The Gains of Restraint],82
[On the Beach at Calais],82
Composed upon Westminster Bridge,83
Thought of a Briton on the Subjugation of Switzerland,83
Milton,84
[The World's Ravages],84
[The Throne of Death],85
[The Shock of Bereavement],85
After-Thought,86
Mutability,86
To Lady Fitzgerald,87
On the Departure of Sir Walter Scott from Abbotsford to Naples,87
[Past Years of Home],88
Samuel Rogers (1763-1855),89
Extract from The Pleasures of Memory,92
Human Life,93
Italy,94
Ginevra,95
William Lisle Bowles (1762-1850),99
Sonnets:,
Written at Ostend,100
Influence of Time on Grief,100
November 1793,101
Bereavement,101
Samuel Taylor Coleridge (1772-1834),102
"Time, Real and Imaginary",115
Love,115
Sonnet,118
The Eolian Harp,119
Frost at Midnight,121
Dejection. An Ode,123
Sonnet. Composed on a Journey Homewards,127
First Part of Christabel,128
The Rime of the Ancient Mariner,136
Robert Southey (1774-1843),155
Extract from Roderick,165
