title,page_number
RICHARD H. DANA,1
The Buccaneer,4
JAMES G. PERCIVAL,24
Night Watching,37
The Deserted Wife,39
The Coral Grove,40
To Seneca Lake,41
Consumption,41
The Serenade,43
The Graves of the Patriots,46
Spring,47
The Desolate City,48
WILLIAM E. GALLAUDET,50
Lines to the Western Mummy,50
EDWARD EVERETT,52
Dirge of Alaric,53
JOHN EVERETT,55
St. Paul's Church,56
Songs,57
To Fanni in a ball dress,58
THOMAS O. FOLSOM,59
Clouds,59
War Song,60
JONATHAN M. SCOTT,61
"Blue Lights, or the Convention",61
GEORGE BANCROFT,65
The Fairy of the Wengern Alp,65
JOHN R. SUTERMEISTER,71
A Contrasted Picture,72
The Lament,73
Faded Hours,74
MARY A. BROOKS,76
Zophiel,77
EDWARD C. PINKNEY,82
Italy,83
A Health,84
Song,84
A Picture Song,85
JOHN NEAL,86
The Eagle,89
Battle of Niagara,91
Goldau,96
The Birth of a Poet,99
Ambition,100
The Sleeper,100
Ode to Peace,109
JOSEPH HAZARD,112
The Fashionable Rake,112
NATHANIEL H. CARTER,113
Hymn for Christmas,114
Pains of the Imagination,115
MOSES Y. SCOTT,117
Pocahontas,117
"HENRY WARE, Jr.",118
The Vision of Liberty,118
Seasons of Prayer,120
JOHN E. HALL,122
Reflections of a Recluse,122
CARLOS WILCOX,124
The Religion of Taste,125
SAMUEL B. BEACH,130
Escalala,130
WILLIAM C. BRYANT,132
The Ages,136
Thanatopsis,144
To a Waterfowl,146
The Murdered Traveller,147
An Indian Story,148
Hymn to the North Star,150
Song of the Stars,151
Autumn Woods,152
The Close of Autumn,154
SAMUEL WEBBER,155
Logan,155
LEVI FRISBIE,159
Morning Hymn,159
Evening Hymn,160
Dream,161
MRS LITTLE,162
Thanksgiving,162
FITZ-GREENE HALLECK,167
Alnwick Castle,169
Marco Bozzaris,172
To ***,174
Love,175
Connecticut,176
Twilight,178
Weehawken,179
JOSEPH HUTTON,181
The Field of Orleans,182
CHARLES SPRAGUE,185
Prologue on the opening of the New York Theatre,186
Prologue on the opening of the Philadelphia Theatre,188
Shakspeare Ode,190
To my Cigar,194
The Winged Worshippers,196
Art,197
JOHN G. C. BRAINARD,198
The Falls of Niagara,203
Epithalamium,203
