title,page_number
On a late Loss,204
Colonization Society,204
The Captain,205
The Deep,206
The Indian Summer,206
The Two Comets,207
Address to Connecticut River,208
The Dead Leaves Strew the Forest Walk,212
ROBERT WALN,213
Songs,213
RUFUS DAWES,215
The Spirit of Beauty,216
Sunrise from Mount Washington,216
Anne Bullen,218
RICHARD PENN SMITH,218
The Cottage Lovers,219
Fragment,220
NORMAN PINNEY,222
Sabbath Morning,222
To ----,223
SUMNER L. FAIRFIELD,224
Household Hours,224
JAMES NACK,227
The Minstrel Boy,227
WILLIAM LEGGETT,229
Song,229
The Warrior's Return,230
Song at Sea,231
HANNAH F. GOULD,232
The Mermaid's Song,232
A Funeral Piece,233
The Conqueror,234
Cupid's Warning,235
To the Automaton Chess Player,236
H. W. LONGFELLOW,238
Hymn of the Moravian Nuns,238
The Indian Hunter,239
The Sea Diver,240
GEORGE D. PRENTICE,242
The Ocean,242
To a Lady,244
CHARLES W. THOMSON,245
The Wild Boy,246
MICAH P. FLINT,247
The Hunter,247
JAMES A. JONES,249
A Moor's Curse on Spain,249
The Lay of a Mountain Spirit,251
The Fay,252
NATHANIEL P. WILLIS,254
Absalom,256
Better Moments,259
The Soldier's Widow,261
The Hindoo Mother,262
Extract from a Poem delivered at Yale College,267
JAMES W. MILLER,267
A Poet's Reverie,267
JAMES G. BROOKS,273
Greece,273
The Dirge,275
FREDERICK S. HILL,273
Musings,277
A Fragment,279
Persian Songs,281
OLIVER C. WYMAN,282
The Devotee,282
To the Clouds,284
The Bridal,285
Song of the Bee,286
W. G. CROSBY,287
To a Lady with a Withered Leaf,287
ASA M. BOLLES,288
The Album,288
HENRY J. FINN,290
The Tribute of Truth,290
The Funeral at Sea,291
EMMA C. EMBURY,292
Jane of France,292
Stanzas,294
HENRY WHITING,295
Ontwa,295
GEORGE W. PATTEN,299
The Isle of Love,299
The Warrior,300
The Mother,301
WILLIS G. CLARK,302
Lines written at an unknown Grave,302
Extract from a New Year Address,304
ROBERT MORRIS,306
The Broken Hearted,306
EBENEZER BAILEY,307
The Triumphs of Liberty,308
Address to the Mermaid,311
GRENVILLE MELLEN,313
Dream of the Sea,314
Mount Washington,316
The Air Voyage,317
CHARLES J. LOCKE,319
A Dream of the Ocean,319
The Harp of Battle,321
The Queen of the Mist,322
FREDERICK MELLEN,322
Sabbath Evening,322
The Herdsman's Grave,324
WILLIAM B. O. PEABODY,325
Hymn of Nature,325
On seeing a Deceased Infant,327
T. W. STONE,328
The Bay of Naples,328
I. M'LELLAN,330
The Pride of the Village,330
J. B. VAN SCHAICK,332
Joshua commanding the Sun and Moon to stand still,332
JOHN W. WHITMAN,333
The Jersey Prison Ship,333
JOSEPH H. NICHOLS,335
Bennett's Bridge,336
The Falls of the Housatonick,337
JAMES O. ROCKWELL,339
To the Ice Mountain,339
MILTON WARD,340
The Lyre,340
GEORGE LUNT,341
The Grave of Byron,342
MARY E. BROOKS,347
Romance,347
Psalm CXXXVII,350
GEORGE P. MORRIS,351
Woman,351
The Miniature,352
What can it mean?,352
G. WALLINGFORD CLARKE,353
The Buried Maid,353
Inscription,354
The Nun,355
WILLIAM CROSWELL,355
Confirmation,355
Drink and away,356
Home,357
Sonnet Vindicatory,357
South Sea Missionaries,358
Christmas,359
JAMES HALL,359
Wedded Love's First Home,359
A. M. WELLS,360
Hope,360
The Tamed Eagle,362
R. H. WILDE,363
Fragment,364
SAMUEL B. PARRIS,365
On a Sprig of Juniper,366
WILLIAM CUTTER,367
The Valley of Silence,367
CHARLES C. BEAMAN,369
The Water Excursion,369
Evening Thoughts,371
LOUISA P. SMITH,371
The Huma,371
Recollections,372
J. G. WHITTIER,373
The Sicilian Vespers,373
F. S. ECKHARD,375
The ruined City,375
CATALOGUE OF AMERICAN POETRY,379
