title,page
Under the Violets,159
Hymn of Trust,159
Epilogue to the Breakfast-Table Series,159
Dorothy Q.,160
Cacoethes Scribendi,161
The Strong Heroic Line,161
"From ""The Iron Gate""",162
Lament of a Mocking-Bird,163
To the Mocking-Bird,163
The Widowed Heart,164
Dixie,165
The Higher Good,166
Jesus,166
To the Boy who goes Singing,167
The Quakeress Bride,167
The Blind Psalmist,168
A Dream,168
Moonlight in Italy,169
To Sleep,169
A Dancing Girl,169
On Sivori's Violin,170
Calumny,170
Song,170
On a Dead Poet,170
The Settler,171
The Loon,171
The Bobolinks,172
Stanza from an early Poem,173
The Pines and the Sea,173
The Idler,173
The New World,174
The Old Road,174
Yourself,174
The Dead,174
The Gifts of God,175
The Fringilla Melodia,175
The Funeral of Time,176
A Life on the Ocean Wave,177
The Heart's Summer,177
"The Brave Old Ship, the Orient",178
The After-Comers,180
"From an ""Ode for Decoration Day""",180
Rinaldo,181
With Wordsworth at Rydal,181
Common Sense,182
Inspiration,182
The Fisher's Boy,182
Smoke,183
Mist,183
Watching,183
My Bird,184
Iona - A Memorial of St. Columba,184
"From ""A Poet's Hope""",185
Hymn of the Earth,186
The Barren Moors,186
Tears in Spring - Lament for Thoreau,187
Edith,187
The Sunflower to the Sun,188
Harold the Valiant,188
Requiem,189
New England's Dead,190
Washington's Statue,190
The Star of Calvary,191
The Clouds,192
A World Beyond,192
It is not Death to die,192
Paraphrase of Luther's Hymn,192
Dies Irae,193
Milton's Prayer of Patience,193
The Angels' Song,194
The Other World,194
Love Unchangeable,195
Love Unsought,195
Come Back,196
Song,196
A Remembrance,197
A Death-Bed,197
Dirge,197
Florence Vane,197
The Wife,198
Blind Louise,198
Under the Violets,198
The Voice of the Grass,199
A Winter Wish,199
A Proem,200
Horace,200
Chez Brebant,201
The Poet,201
"From ""Rhoecus""",202
A Stanza on Freedom,203
Hebe,204
She came and went,204
"From ""The Vision of Sir Launfal""",204
"From ""A Fable for Critics"": To his Countrymen",205
"From ""A Fable for Critics"": On Himself",205
"From ""The Biglow Papers"": What Mr. Robinson thinks",205
"From ""The Biglow Papers"": The Candidate's Letter",206
"From ""The Biglow Papers"": The Courtin'",207
"From ""The Biglow Papers"": Mr. Hosea Biglow to the Editor of ""The Atlantic Monthly""",209
"Ode Recited at the Harvard Commemoration - July 21, 1865",209
The First Snow-Fall,215
International Copyright,215
In a Copy of Omar Khayyam,215
Auf Wiedersehen - Summer,216
Palinode - Autumn,216
After the Burial,216
In the Twilight,217
An Autograph,218
Cleopatra,218
Io Victis,219
Praxiteles and Phryne,220
Battle-Hymn of the Republic,220
Our Orders,221
Beginners,221
Still though the One I sing,221
"From ""The Song of Myself"": Myself",221
"From ""The Song of Myself"": Leaves of Grass",222
"From ""The Song of Myself"": Heroes",223
"From ""The Song of Myself"": Infinity",224
Give me the Splendid Silent Sun,225
Mannahatta,226
"From ""Crossing Brooklyn Ferry""",226
Out of the Cradle endlessly rocking,227
To the Man-of-War-Bird,230
The Dalliance of the Eagles,230
Cavalry crossing a Ford,231
Bivouac on a Mountain Side,231
A Sight in Camp in the Daybreak Gray and Dim,231
O Captain! My Captain!,231
After an Interval,232
"Darest thou now, O Soul",232
Songs: The Old Mill,232
Songs: Ben Bolt,233
Daniel Gray,233
Babyhood,234
A Christmas Carol,235
The College Colonel,235
The Eagle of the Blue,236
Memorials: On the Slain at Chickamauga,236
Memorials: An Uninscribed Monument on one of the Battle-Fields of the Wilderness,236
Crossing the Tropics,236
The Enviable Isles,237
On a Bust of Dante,237
Dirge,238
Mary Booth,238
Her Epitaph,238
To a Young Girl dying,239
Into the Noiseless Country,239
Andrew,239
Obituary,240
To a Lady,240
"""Like as the Lark""",241
O ye Sweet Heavens!,241
Paradisi Gloria,241
From Worship,242
"From ""An Ode to England"": Keats",243
"From ""An Ode to England"": Wordsworth",243
The Brook,243
On the Defeat of a Great Man,244
To Rosina Pico,244
"From ""The River-Fight""",245
The Burial of the Dane,247
The Sphinx,247
The Bivouac of the Dead,248
Song,249
The Morning-Glory,250
The Closing Scene,250
Lines to a Blind Girl,252
Drifting,252
A Song for the Asking,253
The Virginians of the Valley,253
Little Giffen,254
The City of God,254
Inspiration,254
"From ""What is the Use?""",255
The Mayflower,256
The Poet's Secret,257
November,257
Unreturning,258
"In the Still, Star-Lit Night",258
Mercedes,259
On the Campagna,259
A Summer Night,259
Last Days,259
California,260
Fledglings,260
Sea-Sleep,261
A Ballad of Sir John Franklin,261
The Ferry,263
To England,263
To My Lady,263
Dirge for a Soldier,264
Music in Camp,264
Ashby,265
Amy,266
Ahab Mohammed,266
To a Lily,267
Ode to a Butterfly,267
To Duty,268
"""The Snowing of the Pines""",268
Decoration,268
"""Since Cleopatra died""",269
"""Such Stuff as Dreams are made of""",269
El Capitan-General,269
The Two Friends,270
Ariel in the Cloven Pine,271
Song,272
Bedouin Song,272
"America - From the National Ode, July 4, 1876",272
The Quaker Widow,273
The Song of the Camp,274
"From ""The Sunshine of the Gods""",275
To M. T.,275
The Fallow Field,275
O Earth! art thou not weary?,276
With a Rose from Conway Castle,276
Two Paths,277
Stonewall Jackson's Way,277
The Fight at the San Jacinto,277
The Maryland Battalion,278
The Witch's Whelp,279
Melodies and Catches: Songs,280
Melodies and Catches: The Sea,280
Melodies and Catches: Birds,280
Melodies and Catches: The Sky,281
Melodies and Catches: The Shadow,281
Melodies and Catches: A Catch,281
The Flight of Youth,281
Oriental Songs: The Divan,281
Oriental Songs: Wine and Dew,281
Oriental Songs: The Jar,282
Oriental Songs: The Falcon,282
Oriental Songs: Arab Song,282
The Lover (Japan),282
Abraham Lincoln,282
Adsum,285
An Old Song Reversed,285
Mors et Vita,285
