Title,Page
Robert Browning (1812-1889),1
How they brought the Good News from Ghent to Aix,9
Pippa's Song,11
The Bishop orders his Tomb at Saint Praxed's Church,11
The Lost Leader,15
David singing before Saul,16
"Home Thoughts, from Abroad",18
Love among the Ruins,18
Incident of the French Camp,21
Two in the Campagna,22
Up at a Villa—Down in the City,24
May and Death,27
Prospice,28
Rabbi Ben Ezra,29
Confessions,35
The Ring and the Book (Dedication),37
The Householder,38
Epilogue to Asolando,39
Matthew Arnold (1822-1888),40
To a Friend,46
Shakespeare,46
Requiescat,47
Human Life,47
"'The poet, to whose mighty heart' (from Resignation)",48
"'He spoke; and as he ceased, he wept aloud' (from Sohrab and Rustum)",50
The Forsaken Merman,57
Austerity of Poetry,61
To Marguerite,62
The Strayed Reveller (from Empedocles on Etna),63
Callicles' Song (from Empedocles on Etna),71
Dover Beach,73
Palladium,74
Morality,75
"Memorial Verses (April, 1850)",76
"Rugby Chapel (November, 1857)",78
Thyrsis,84
"Alfred, Lord Tennyson (1809-1892)",91
Claribel,101
A Dirge,101
The Lady of Shalott,103
Eleänore,108
'Of old sat Freedom on the Heights',112
'Love thou thy Land',113
"'You ask me, why, tho' ill at ease'",116
Morte d'Arthur,117
Ulysses,121
St. Agnes' Eve,123
"'Break, break, break'",124
Extracts from The Princess:,
'The splendour falls on castle walls',125
"'Tears, idle tears'",125
Extracts from In Memoriam:,
'The Danube to the Severn gave',126
'Yet if some voice that man could trust',126
'Oh yet we trust that somehow good',127
'Heart-affluence in discursive talk',128
'There rolls the deep where grew the tree',129
Extract from Maud:,
"'I have led her home, my love, my only friend'",129
The Brook,132
Ode on the Death of the Duke of Wellington,133
The Charge of the Light Brigade,141
"Northern Farmer, Old Style",143
Tithonus,146
Milton,148
The Sailor Boy,148
Arthur's Farewell (from The Idylls of the King: Guinevere),149
The Revenge,151
To Virgil,155
Hymn (from Akbar's Dream),157
God and the Universe,157
Crossing the Bar,158
Richard Henry Horne (1803-1884),159
"'One day, at noontide, when the chase was done' (from Orion)",161
The Plough,163
Cardinal Newman (1801-1890),165
Memory,168
The Pillar of the Cloud,169
Extracts from The Dream of Gerontius,169
William Barnes (1801-1886),174
In the Spring,176
Jenny out vrom Hwome,177
The Wife a-lost,178
Woak Hill,179
The Widow's House,180
The Water Crowvoot,181
Blackmwore Maïdens,182
The Morning Moon,183
White and Blue,184
The Wind at the Door,185
Aubrey de Vere (1814-1902),186
Extracts from The Search after Proserpine:,
Fountain Nymphs,188
Coleridge,190
Extracts from May Carols:,
'Stronger and steadier every hour',191
'A sweet exhaustion seems to hold',192
'A sudden sun-burst in the woods',193
Extracts from Mediaeval Records and Sonnets:,
Browning,193
Tennyson,194
Sir Francis Doyle (1810-1888),195
Extract from The Doncaster St. Leger,196
The Private of the Buffs,199
Lord Houghton (1809-1885),201
Mohammedanism,205
The Flight of Youth,207
Moments,211
Half-Truth,212
Shadows,213
Mrs. Denison,214
The Brownie,215
Alexander Smith (1829-1866),216
Extract from A Life Drama,219
Sonnet,219
Extract from Edwin of Deira,220
Extract from Horton,220
Extract from Squire Maurice,221
Jean Ingelow (1820-1897),223
The High Tide on the Coast of Lincolnshire,224
When Sparrows Build,228
Coventry Patmore (1823-1896),230
Eros,234
Night and Sleep,234
Extract from Tamerton Church-Tower,236
Extracts from The Angel in the House:,
The Poet's Confidence,237
Love at Large,237
The Lover,238
The Revelation,239
The Amaranth,239
Love's Perversity,240
Extract from Amelia,241
Extracts from The Unknown Eros:,
Winter,243
The Azalea,244
Departure,245
The Toys,246
To the Body,247
Edward Fitzgerald (1809-1883),249
Extracts from the Rubáiyát,252
William Johnson (Cory) (1823-1892),257
Extracts from Ionica:,
Mimnermus in Church,259
Amaturus,259
A Queen's Visit (1851),261
A Study of Boyhood,262
Deteriora,264
Parting,265
To the Muse,266
Richard Watson Dixon (1833-1900),267
Song,270
The Fall of the Leaf,270
Ode on Conflicting Claims,271
Ode: The Spirit Wooed,272
Ode on Advancing Age,274
Thomas Gordon Hake (1809-1895),276
Extracts from New Symbols:,
The Snake-charmer,278
The Painter,282
Extracts from The New Day:,
Sonnet X,284
Sonnet XXXII,285
Christina Rossetti (1830-1894),286
Noble Sisters,290
Dream Land,292
Bride-song (from The Prince's Progress),293
"Song: 'When I am dead, my dearest'",295
A Birthday,295
At Home,296
Up-hill,297
Shut Out,297
Echo,298
A Christmas Carol,299
Passing Away,300
George Meredith (1828-1909),301
The Spirit of Shakespeare,309
Winter Heavens,310
Dirge in Woods,310
The Year's Sheddings,311
Song in the Songless,311
Youth in Age,311
"France, December 1870",312
The Earl of Lytton (1834-1891),320
Extracts from The Wanderer:,
The Portrait,321
Spring and Winter,324
Athens (from After Paradise),326
Andromeda,327
William Morris (1834-1896),328
Extracts from The Oxford and Cambridge Magazine:,
The Hollow Land,336
Summer Dawn,336
Extracts from The Defence of Guenevere:,
Launcelot and Guenevere (from King Arthur's Tomb),336
Ladies' Gard (from Golden Wings),338
Extracts from The Life and Death of Jason:,
A Sweet Song sung not yet to any Man,339
Orpheus sings to the Argonauts,340
The Song of the Hesperides,342
Medea at Corinth,343
Extracts from The Earthly Paradise:,
Apology,346
Michael's Ride (from The Man born to be King),347
The Castle on the Island (from The Lady of the Land),348
The Hosting of the Fiends (from The Ring given to Venus),350
February,351
The Book speaks to Chaucer,352
Extracts from Love is Enough:,
The Land of the Dream,354
The Music,354
The Return Home,355
Extracts from Sigurd the Volsung:,
Sigurd on Hindfell,356
The Wisdom of Brynhild,358
Gunnar's Death Song,359
Extracts from Poems by the Way:,
Mother and Son,361
Young Love,363
The Day is coming,364
Thunder in the Garden,366
The Flowering Orchard,367
Algernon Charles Swinburne (1837-1909),368
Extracts from Atalanta in Calydon:,
Chorus: 'When the hounds of spring are on winter's traces',375
Chorus: 'Before the beginning of years',377
Itylus,378
A Match,380
From The Triumph of Time,381
Rococo,383
In Memory of Walter Savage Landor,386
The Garden of Proserpine,387
Love at Sea,390
Hendecasyllabics,391
Extracts from Songs before Sunrise:,
From Hertha,392
The Oblation,396
From Mater Triumphalis,396
Cor Cordium,398
From the Epilogue to Songs before Sunrise,398
Extract from Erechtheus:,
Chthonia to Athens,400
"Extract from Poems and Ballads, Second Series:",
A Forsaken Garden,400
"Extracts from Poems and Ballads, Third Series:",
From Pan and Thalassius,403
A Reiver's Neck-Verse,404
Extracts from Tristram of Lyonesse:,
Prelude: Tristram and Iseult,405
A Child's Laughter,406
Thomas Edward Brown (1830-1897),408
Braddan Vicarage,411
Scarlett Rocks,412
Clifton,413
The Intercepted Salute,413
Bach's Fugues (from Tommy Big-Eyes),414
Extracts from Clevedon Verses:,
Norton Wood (Dora's Birthday),415
Ποιημάτιον: For J.P.,416
Boccaccio,417
"'O God, to Thee I yield'",418
My Garden,418
Specula,418
Lord de Tabley (1835-1895),420
Sonnet: 'Rosy delight that changest day by day',423
Sonnet: 'My heart is vext with this fantastic fear',424
Autumn Love,424
The Study of a Spider,426
A Leave-taking,427
Misrepresentation,427
George Eliot (1819-1880),429
Extracts from The Legend of Jubal:,
The Thought of Death,430
The Effect of Music,431
'O may I join the choir invisible',434
Sir Alfred Lyall (1835-1911),436
Theology in Extremis,437
Meditations of a Hindu Prince,440
John Addington Symonds (1840-1893),443
The Shepherd to the Evening Star,445
Le Jeune Homme caressant sa Chimère,446
In the Inn at Berchtesgaden,448
Κοινὰ τὰ τῶν φίλων,449
Harvest,449
Extracts from Stella Maris:,
Sonnet: 'Rebuke me not! I have nor wish nor skill',450
Sonnet: 'Silvery mosquito-curtains draped the bed',450
Je suis trop jeune,451
Adam Lindsay Gordon (1833-1870),452
The Sick Stockrider,453
