Title,Page
How we Beat the Favourite,456
Whisperings in Wattle-boughs,459
Frederic William Henry Myers (1843-1901),461
From 'Saint Paul',462
Simmenthal,463
Arethusa,464
Hesione,465
Gabrielle,467
Philip Bourke Marston (1850-1887),468
Inseparable,470
Persistent Music,471
The First Kiss,472
Bridal Eve,472
The Old Churchyard of Bonchurch,473
From Far,474
Robert Louis Stevenson (1850-1894),476
Windy Nights,480
Singing,481
The Lamplighter,481
North-west Passage: 1. Good Night,481
North-west Passage: 2. Shadow March,482
North-west Passage: 3. In Port,482
A Visit from the Sea,483
The House Beautiful,483
To K. de M.,484
In Memoriam F. A. S.,485
To F. J. S.,486
'Say not of me',486
Requiem,486
A Mile an' a Bittock,487
The Counterblast Ironical,488
Christmas at Sea,489
'I will make you brooches',490
'Bright is the ring of words',491
My Wife,491
If this were Faith,492
(To the Tune of Wandering Willie),493
To S. C.,493
'The Tropics vanish',495
Tropic Rain,495
To S. R. Crockett,496
Evensong,497
William Ernest Henley (1849-1903),498
From In Hospital:,
Staff-nurse: Old Style,501
Staff-nurse: New Style,501
Lady-probationer,502
'The Chief',502
Apparition,503
Discharged,503
I. M. R. T. Hamilton Bruce,504
To W. A.,505
To A. C.,505
Pro Rege Nostro,507
Andrew Lang (1844-1912),509
The Odyssey,510
Herodotus in Egypt,510
Colinette,511
Pen and Ink,512
The White Pacha,513
"Advance, Australia!",514
Ballade of the Book-hunter,514
The Old Love and the New,515
The Last Chance,516
Humorous Verse,517
William Makepeace Thackeray (1811-1863),519
From Vanitas Vanitatum,519
The Age of Wisdom (from Rebecca and Rowena),520
Sorrows of Werther,521
Frederick Locker (1821-1895),522
My Mistress's Boots,523
The Rose and the Ring,525
A Reminiscence of Infancy,526
Charles Stuart Calverley (1831-1884),526
Gemini and Virgo,528
Wanderers,532
James Kenneth Stephen (1859-1892),534
A Parodist's Apology,534
"Parker's Piece, May 19, 1891",535
Arthur Clement Hilton (1851-1877),536
Octopus,537
William Schwenck Gilbert (1836-1911),538
Ellen M'Jones Aberdeen (from the Bab Ballads),540
The Judge's Song (from Trial by Jury),543
The Policeman's Lot (from The Pirates of Penzance),544
Stephen Phillips (1864-1915),545
Marpessa,548
A Poet's Prayer,549
The Fireman,551
Penelope to Ulysses,552
Beatrice Cenci,553
The Parting of Launcelot and Guinevere,555
A Gleam!,556
The Revealed Madonna,557
Hon. Emily Lawless (1845-1913),558
After Aughrim,560
"Dirge of the Munster Forest, 1581",561
"Fontenoy, 1745:",
I. Before the Battle; night,562
"II. After the Battle; early dawn, Clare coast",563
Francis Thompson (1859-1907),564
The Hound of Heaven,565
From Sister Songs,570
The End of it (from New Poems),572
John Davidson (1857-1909),573
"Piper, Play!",575
A Ballad of Heaven,576
Canadian Poetry,580
Isabella Valancy Crawford (1850-1887),582
La Blanchisseuse,583
Said the Daisy,585
The Rose,587
O Love,588
William Henry Drummond (1854-1907),588
The Wreck of the 'Julie Plante',589
Johnnie's First Moose,591
Dreams,593
Archibald Lampman (1861-1899),594
Heat,594
Outlook,596
The Woodcutter's Hut,596
Temagami,599
Wayagamack,599
Harold Verschoyle Wrong (1891-1916),600
Death,600
The Great Adventure,600
Ernest Dowson (1867-1900),601
Nuns of the Perpetual Adoration,603
'Non sum qualis eram bonae sub regno Cynarae',604
Vain Hope,605
Villanelle of Marguerites,605
A Last Word,606
Richard Middleton (1889-1911),607
The Carol of the Poor Children,609
"Any Lover, any Lass",609
Autumnal,610
Pagan Epitaph,611
Mary Elizabeth Coleridge (1861-1907),613
"Sonnet: 'True to myself am I, and false to all'",616
Our Lady,616
Unwelcome,617
Jealousy,618
A Moment,618
L'Oiseau Bleu,618
Shadow,619
The Shield,619
A Mother to her Baby,619
Christ's Friends,620
Friends—with a Difference,620
"'Whether I live, or whether I die'",621
Lionel Pigot Johnson (1867-1902),622
By the Statue of King Charles at Charing Cross,624
The Church of a Dream,625
The End,626
Walter Pater,626
Rupert Brooke (1887-1915),628
Dust,631
The Fish,632
Dining-room Tea,634
Tiare Tahiti,636
The Great Lover,638
Sonnet (suggested by some of the Proceedings of the Society for Psychical Research),640
Waikiki,641
Beauty and Beauty,641
The Dead,642
The Soldier,643
Index I. Authors and Editors,645
"Index II. Editors, with the Names of the Authors treated",650
