title,page
"Richard Jago. b. 1715, d. 1781",516
"Thomas Gray. b. 1716, d. 1771",516-528
"William Collins. b. 1721, d. 1759",528-533
"Mark Akenside. b. 1721, d. 1770",534-537
"Tobias George Smollett. b. 1721, d. 1771",538
"Christopher Smart. b. 1722, d. 1770",538-542
"Jane Elliot. b. 1727, d. 1805",542-543
"Oliver Goldsmith. b. 1728, d. 1774",543-544
"Robert Cunninghame-Graham of Gartmore. b. 1735, d. 1797",544-545
"William Cowper. b. 1731, d. 1800",545-547
"James Beattie. b. 1735, d. 1803",548
"Isobel Pagan. b. 1740, d. 1821",548-549
"Anna Laetitia Barbauld. b. 1743, d. 1825",549-550
Fanny Greville. XVIII Century,550-551
"John Logan. b. 1748, d. 1788",551-552
"Lady Anne Lindsay. b. 1750, d. 1825",552-553
"Sir William Jones. b. 1746, d. 1794",554
"Thomas Chatterton. b. 1752, d. 1770",554-556
"George Crabbe. b. 1754, d. 1832",556-557
"William Blake. b. 1757, d. 1827",558-566
"Robert Burns. b. 1759, d. 1796",566-577
"Henry Rowe. b. 1750, d. 1819",578-579
"William Lisle Bowles. b. 1762, d. 1850",579
"Joanna Baillie. b. 1762, d. 1851",580
"Mary Lamb. b. 1765, d. 1847",581
"Carolina, Lady Nairne. b. 1766, d. 1845",581-582
"James Hogg. b. 1770, d. 1835",582-594
"William Wordsworth. b. 1770, d. 1850",594-618
"Sir Walter Scott. b. 1771, d. 1832",619-628
"Samuel Taylor Coleridge. b. 1772, d. 1834",628-658
"Robert Southey. b. 1774, d. 1843",658-659
"Walter Savage Landor. b. 1775, d. 1864",659-667
"Charles Lamb. b. 1775, d. 1834",668-672
"Thomas Campbell. b. 1777, d. 1844",672-675
"Thomas Moore. b. 1779, d. 1852",675-678
"Edward Thurlow, Lord Thurlow. b. 1781, d. 1829",678-679
"Ebenezer Elliott. b. 1781, d. 1849",679-681
"Allan Cunningham. b. 1784, d. 1842",681-683
"Leigh Hunt. b. 1784, d. 1859",683
