title,page_number
My Dear and Only Love,358
Richard Crashaw,
Wishes for the Supposed Mistress,359
Upon the Book and Picture of the Seraphical Saint Teresa,363
Thomas Jordan,
Let Us Drink and Be Merry,364
Abraham Cowley,
A Supplication,365
"Cheer Up, My Mates",366
Drinking,366
On the Death of Mr. William Hervey,367
Alexander Brome,
The Resolve,369
Andrew Marvell,
A Garden,370
The Picture of Little T. C. in a Prospect of Flowers,371
Horatian Ode upon Cromwell's Return from Ireland,372
Song of the Emigrants in Bermuda,376
Thoughts in a Garden,377
Anonymous,
Love Will Find Out the Way,379
Phillada Flouts Me,380
Earl of Rochester,
Epitaph on Charles II,383
Sir Charles Sedley,
Chloris,383
Celia,384
John Dryden,
Ode,384
"Song to a Fair Young Lady, Going Out of the Town in the Spring",388
Song for St. Cecilia's Day,389
Alexander's Feast,391
On Milton,396
Matthew Prior,
To a Child of Quality,396
Cloe,397
The Dying Adrian to His Soul,398
Epigram,398
Isaac Watts,
True Greatness,398
Lady Grisel Baillie,
Werena My Heart Licht I Wad Dee,398
Joseph Addison,
Hymn,400
Allan Ramsay,
Peggy,401
John Gay,
Love in Her Eyes Sits Playing,402
Black-Eyed Susan,402
"Carey, Henry",
Sally in our Alley,403
Alexander Pope,
Solitude,405
On a Certain Lady at Court,406
Essay on Man,406
Ambrose Philips,
To Charlotte Pulteney,440
Colley Cibber,
The Blind Boy,441
James Thomson,
"Rule, Britannia—To Fortune",442-443
Thomas Gray,
Elegy Written in a Country Churchyard,443
Ode on a Distant Prospect of Eton College,447
Hymn to Adversity,450
Ode on the Spring,452
The Progress of Poesy,453
The Bard,456
Ode on the Pleasure Arising from Vicissitude,460
"On a Favourite Cat, Drowned in a Tub of Gold Fishes",462
George Bubb Dodington (Lord Melcombe),
Shorten Sail,463
