Title,Page
Ben Jonson (1573-1637),1
Echo's Lament of Narcissus (from Cynthia's Revels),8
Venetian Song (from Volpone),8
Song (from Epicaene),9
Charis' Triumph (from Underwoods),9
Truth (from Hymenaei),10
The Shepherds' Holiday (from Pan's Anniversary),11
Song before the Entry of the Masquers (from The Fortunate Isles),12
Ode to Himself (after the failure of The New Inn),12
Song.—To Celia (from The Forest),14
Epigrams: To my mere English Censurer,14
On Court-Worm,15
To Fool or Knave,15
"On Lucy, Countess of Bedford",15
Epitaph on Salathiel Pavy,16
Epitaph on Elizabeth L. H.,16
An Ode to Himself (from Underwoods),17
To the Memory of my Beloved Master William Shakespeare (from the First Folio),18
Epitaph on the Countess of Pembroke (from Underwoods),21
Epitaph on Master Philip Gray (from Underwoods),21
Epode (from The Forest),21
To Heaven (from The Forest),22
William Drummond of Hawthornden (1585-1649),24
Extracts from the Poems:,
Sonnets,28
Sextain,30
Song,31
To Chloris,33
Sonnet to Sir W. Alexander,33
Extracts from The Flowers of Sion:,
Sonnet,34
For the Baptist,34
To the Nightingale,35
Madrigal,35
Sonnet to Sir W. Alexander (from The Cypresse Grove),36
Sir William Alexander (1580-1640),37
Sonnets from Aurora,39
Chorus from The Tragedy of Darius,40
Beaumont (1585-1616) and Fletcher (1579-1625),43
Lines on the Tombs in Westminster. By Beaumont,47
Song (from The Maid's Tragedy). By Beaumont & Fletcher,47
The Satyr (from The Faithful Shepherdess). By Fletcher,48
The River God to Amoret (from the Same),49
The Satyr (from the Same),50
Song (from The Two Noble Kinsmen),51
Song (from Valentinian),52
Song to Bacchus (from the Same),52
Invocation to Sleep (from the Same),53
Song (from The Queen of Corinth),53
Song (from The Nice Valour),53
Thomas Dekker (1575?-1640?),55
Content (from Patient Grissil),57
Lullaby (from the Same),57
The Praise of Fortune (from Old Fortunatus),58
Rustic Song (from The Sun's Darling),58
John Ford (1586-1640?),60
Penthea's Dying Song (from The Broken Heart),63
Calantha's Dirge (from the Same),63
Awakening Song (from The Lover's Melancholy),64
William Browne (1588-1643),65
Extracts from Britannia's Pastorals:,
Marina and the River-God,71
The scented grove,72
The music lesson,73
The hunted squirrel,73
A metamorphosis,74
The poet's ambition,75
The praise of Spenser,76
A lament for his friend,76
The praise of Sidney,78
A colour passage,78
The description of Walla,79
The song of Tavy,80
The complaint of Pan,81
The song of Celadyne,82
A comparison,83
Song (from Minor Poems),84
The Charm (from The Inner Temple Masque),85
Sonnet,85
George Wither (1588-1667),86
Weakness (from Abuses Stript and Whipt),90
Eclogue 4 (from The Shepherd's Hunting),91
The Author's Resolution in a Sonnet (from Fidelia),95
Love Poems (from The Mistress of Philarete),97
A Christmas Carol,99
Extracts from Hallelujah:,
When we are upon the Seas,101
For Summer Time,102
The Prayer of Old Age,103
Giles Fletcher (1588-1623),104
Christ's Victory in Heaven,106
Sir Henry Wotton (1568-1639),108
The Character of a Happy Life,109
"On his Mistress, the Queen of Bohemia",109
Thomas Carew (1589-1639),111
Song,115
A Prayer to the Wind,115
The Cruel Mistress,116
A Deposition from Love,117
Disdain returned,118
Celia singing,118
The Lady to her Inconstant Servant,119
A Pastoral Dialogue,119
Extract from The Rapture,120
Epitaph on the Lady Mary Villers,121
Song,122
The Protestation,122
In Praise of his Mistress,123
Robert Herrick (1594-1674),124
The Argument of the Hesperides,130
When he would have his verses read,130
Corinna's going a Maying,130
The Rock of Rubies,132
Candlemas Eve,133
The Night Piece,133
To the Virgins,134
To Blossoms,134
To Primroses filled with Morning Dew,135
To Daffadils,136
To Meadows,136
A Thanksgiving to God,137
The Mad Maid's Song,139
Upon Julia's Clothes,139
Delight in Disorder,140
Art above Nature,140
Cherry-ripe,141
The Bride-Cake,141
His Prayer to Ben Jonson,141
An Ode for Ben Jonson,142
To Anthea,142
To the Same,143
To Perilla,143
The Wake,144
To Robin Red-breast,145
To the Lark,145
To the Rose,145
The Bag of the Bee,146
To the Duke of York,146
The Litany,147
Grace for a Child,148
The Dirge of Jephthah's Daughter,149
Ode to Endymion Porter,151
What Love is,152
Upon Prew his Maid,152
The White Island,152
Music,153
Oberon's Feast,154
To Phillis,155
William Habington (1605-1654),158
To Roses in the bosom of Castara,163
"To Cupid, upon a dimple in Castara's cheek",163
The Description of Castara,164
"To Castara, in a Trance",165
"To Castara, upon the Death of a Lady",165
Against them who lay Unchastity to the Sex of Women,166
To Castara. Of True Delight,167
Nox Nocti indicat scientiam,168
Sir John Suckling (1608-1642),170
A Ballad upon a Wedding,174
Truth in Love,177
The Dance,177
Orsames' Song in Aglaura,178
Song,179
The Lute Song in The Sad One,179
Constancy,180
Richard Lovelace (1618-1658),181
Going to the Wars,184
The Rose,184
To Althea from Prison,185
The Grasshopper,186
To Lucasta,187
Lord Herbert of Cherbury (1581-1648),188
An Ode upon a question moved whether Love should Continue for Ever,189
Upon Combing her Hair,191
"Sandys, Herbert, Crashaw, Vaughan",192
George Sandys (1577-1643),
From the Paraphrase upon Luke I.,199
George Herbert (1592-1634),
The Collar,200
Aaron,201
The Quip,202
Misery,202
Love,203
The Pulley,204
Employment,205
The World,205
Richard Crashaw (1615?-1650),
Wishes. To his supposed Mistress,206
The Flaming Heart,208
Description of a Religious House,208
Henry Vaughan (1621-1695),
The Retreat,210
The Burial of an Infant,211
The World,211
Beyond the Veil,213
James Shirley (1596-1667),215
"A Lullaby (from The Triumph of Beauty, a Masque)",216
The Garden (from Poems),216
"The Might of Death (from Cupid and Death, a Masque)",217
A Dirge (from The Contention of Ajax and Ulysses),218
Thomas Randolph (1605-1634-5),219
Ode to Master Anthony Stafford,221
Extract from The Cotswold Eclogue,223
A Pastoral Courtship,224
To Ben Jonson,225
William Cartwright (1615?-1643),227
On His Majesty's Recovery from the Small-pox,230
A New Year's Gift to Brian Lord Bishop of Sarum,231
To a virtuous young Gentlewoman that died suddenly,233
Abraham Cowley (1618-1667),234
Extract from Poetical Blossomes:,
A Wish,244
Extracts from The Miscellanies:,
Ode of Wit,245
On the Death of Mr. William Hervey,247
The Chronicle. A Ballad,251
On the Death of Mr. Crashaw,254
Extracts from Anacreontiques:,
Drinking,256
The Swallow,256
Extracts from The Mistress:,
The Spring,257
The Wish,259
Extracts from Pindarique Odes:,
To Mr. Hobbes,260
Brutus,263
Extracts from Verses written on Several Occasions:,
Stanzas from The Hymn to Light,265
Extract from The Ode to the Royal Society,267
Extract from Discourses by way of Essays:,
On Solitude,268
Edmund Waller (1605-1687),270
On a Girdle,274
Song,274
Extract from His Majesty's Escape at St. Andrew's,275
To One who wrote against a fair Lady,275
The Bud,276
The Marriage of the Dwarfs,277
Extract from The Battle of the Summer's Islands,277
Sir John Denham (1615-1668),279
View of London from Cooper's Hill,281
Praise of the Thames,282
Against Love,283
Song from The Sophy,283
Extract from The Elegy on Cowley,284
Thomas Stanley (1625-1678),286
Celia Singing,287
The Tomb,287
Sir William Davenant (1605-1668),289
Extract from Gondibert,290
Song,291
On the Captivity of the Countess of Anglesey,292
John Milton (1608-1674),293
"An Epitaph on the Admirable Dramatic Poet, William Shakespeare",306
L'Allegro,306
Il Penseroso,310
Extract from Comus,315
Lycidas,322
Sonnets: On his being arrived at the age of Twenty-three,327
On his Blindness,328
On the late Massacre in Piedmont,328
To the Lord General Cromwell,329
Extracts from Paradise Lost:,
Book I,329
Book IV,350
Book X,359
Extracts from Paradise Regained:,
Book I,366
Book III,369
Extract from Samson Agonistes,378
Andrew Marvell (1621-1678),380
The Garden,385
A Drop of Dew,387
The Bermudas,388
Young Love,389
A Horatian Ode upon Cromwell's Return from Ireland,390
On Milton's Paradise Lost,393
Samuel Butler (1612-1680),396
Extracts from Hudibras:,
Argumentative Theology,400
The Presbyterians,400
'New Light',401
The Muse of Doggerel,401
Martial Music,402
Honour,402
Night,403
Morning,403
Spiritual Trimmers,403
Marriage,404
Amantium Irae,404
Extracts from Miscellanies:,
An Apology for Plagiaries,405
Upon the Weakness and Misery of Man,406
Distichs and Saws (from Hudibras and Miscellanies),406
The Earl of Roscommon (1634-1684-5),409
Extract from the Essay on Translated Verse,410
The Earl of Dorset (1637-1705-6),411
Song written at Sea,412
Songs,414
Sir Charles Sedley (1639-1701),415
Song: 'Love still has something of the Sea',416
Song (from The Mulberry Garden) 'Ah! Chloris',417
Song 'Phillis is my only Joy',418
Mrs. Behn (1642-1689),419
Song (from Abdelazar),421
The Dream,421
On the Death of Waller,422
The Earl of Rochester (1647-1680),424
Song: 'My dear Mistress',426
Constancy,426
The Bowl,427
Song (from Valentinian),427
Song 'When on those lovely looks',428
Song 'Absent from thee I languish still',429
Epitaph on Charles II,429
Thomas Otway (1651-1685),430
Extract from The Poet's Complaint of his Muse,431
John Oldham (1653-1683),432
The Jesuits (from the Second Satire upon them),434
The Domestic Chaplain (from A Satire addressed to a Friend),435
John Dryden (1631-1700),437
Verses to her Royal Highness the Duchess [of York],448
Extracts from Annus Mirabilis:,
The Attempt at Berghen,449
The Fire of London,451
Extracts from Absalom and Achitophel:,
Achitophel,454
The Malcontents. Zimri,456
Doeg and Og,460
Shadwell (from Mac Flecknoe),459
Tradition (from Religio Laici),463
Extracts from The Hind and the Panther:,
The Sects. Private Judgment,464
The Unity of the Catholic Church,466
The Buzzard,467
"Prologue to Aureng-Zebe, or the Great Mogul",469
To the Pious Memory of Mrs. Anne Killigrew,470
A Song for St. Cecilia's Day,476
"Alexander's Feast; or, The Power of Music",478
Lines printed under the Portrait of Milton,483
"To my Friend, Mr. Congreve",484
Palamon and Arcite,486
"To my Honoured Kinsman, John Dryden",489
Veni Creator Spiritus,495
