Title,Page
The Progress of Poesy,323
The Bard,326
Elegy written in a Country Churchyard,331
Sonnet on the death of Mr. Richard West,335
Sketch of his own Character,335
Impromptu on Lord Holland's Seat at Kingsgate,336
William Whitehead (1715-1785),337
The Enthusiast. An Ode,338
Mark Akenside (1721-1770),341
Extract from The Pleasures of Imagination,345
"On the Winter Solstice, 1740",347
For a Grotto,350
Christopher Smart (1722-1770),351
Extracts from A Song to David,353
William Falconer (1732-1769),362
Extract from The Shipwreck. Canto III,364
Oliver Goldsmith (1728-1774),368
Extract from The Deserted Village,373
Retaliation,380
Stanzas on Woman,381
Thomas Warton (1728-1790),382
Extract from The Triumph of Isis,384
Extract from The First of April,385
Sonnet written in a blank leaf of Dugdale's 'Monasticon',387
To the River Lodon,388
Charles Churchill (1731-1764),389
Description of his Muse (from The Prophecy of Famine),392
Characters of Actors (from The Rosciad),392
Description of Johnson (from The Ghost),394
Charles the First (from Gotham),394
James Beattie (1735-1803),396
"Extract from The Minstrel, Book I",397
Thomas Chatterton (1752-1770),400
An Excellent Ballad of Charity,409
Eclogue the First,412
Eclogue the Third,414
Minstrel's Marriage-Song (from Ælla: a Tragical Interlude),417
The Accounte of W. Canynge's Feast,419
Minstrel's Roundelay (from Ælla),419
William Cowper (1731-1800),422
The Past and Future of Poetry (from Table Talk),434
Grace and the World (from Hope),438
Extracts from Conversation:,
Characters and Sketches,441
An Afternoon Call,446
Extracts from Retirement:,
Dejection and Retirement. The Retired Statesman,447
What to Read,453
A Comparison,454
The Jackdaw,454
Boadicea. An Ode,456
Extracts from the Task:,
Relish of Fair Prospect,457
Crazy Kate. The Gipsies,459
England,461
Autobiographical,462
The Post. The Fireside in Winter,463
Snow,465
Early Love of the Country and of Poetry,467
Meditation in Winter,468
The Poet in the Woods,470
"An Epistle to Joseph Hill, Esq.",471
To the Rev. Mr. Newton,472
On the Loss of the Royal George,473
Epitaph on a Hare,474
On the Death of Mrs. Throckmorton's Bullfinch,475
The Acquiescence of Pure Love,477
On the Receipt of My Mother's Picture,478
The Poplar Field,481
To Mary,482
The Castaway,484
"Scotch Minor Song-Writers, Eighteenth Century",486
Tullochgorum (John Skinner),491
Logie o' Buchan (George Halket),493
Lewie Gordon (Alexander Geddes),494
There's nae Luck about the House (Jean Adams),494
Ca' the Yowes (Isabel Pagan),496
The Flowers of the Forest (Jane Elliot),497
Logan Braes (John Mayne),498
For Lack of Gold (Adam Austin),499
Johnnie Cope (Adam Skirving),499
Robert Fergusson (1750-1774),501
The Daft Days,504
Braid Claith,506
Extract from Caller Water,507
Ode to the Gowdspink,509
Robert Burns (1759-1796),512
Mary Morison,524
"My Nanie, O",524
Green grow the Rashes. A Fragment,525
"The Death and Dying Words of Poor Mailie, the Author's only Pet Yowe",526
"Extract from An Epistle to John Lapraik, an old Scottish Bard",528
"To a Mouse, on turning her up in her Nest with the Plough",529
The Cotter's Saturday Night,531
Address to the Deil,537
Extract from The Holy Fair,541
Epistle to a Young Friend,543
A Bard's Epitaph,546
Extract from The Epistle to Mrs. Scott of Wauchope,547
The Birks of Aberfeldy,548
Of a' the Airts the Wind can Blaw,549
Auld Lang Syne,550
"John Anderson, my Jo",551
Tam Glen,551
The Happy Trio,552
To Mary in Heaven,553
Tam o' Shanter. A Tale,554
The Banks o' Doon,560
Farewell to Nancy,561
Highland Mary,562
Duncan Gray,563
"Whistle, and I'll come to you, my Lad",564
Bannockburn. Robert Bruce's Address to his Army,565
"A Red, Red Rose",566
My Nannie's awa,566
A Man's a Man for a' that,567
Address to the Woodlark,568
This is no my ain Lassie,569
Last May a braw Wooer,570
O wert thou in the Cauld Blast,571
"Caroline Oliphant, Baroness Nairn (1766-1845)",572
Wha'll be King but Charlie,574
The Land o' the Leal,575
Mrs. Barbauld (1743-1825),576
Ode to Spring,578
Life,579
George Crabbe (1754-1832),581
The Village as it is (from The Village),586
Extracts from The Borough:,
The Convict's Dream,587
Strolling Players,589
The Founder of the Almshouse,590
A Storm on the East Coast,591
An Entanglement (from Tales of the Hall),592
William Blake (1757-1827),596
Extracts from Poetical Sketches:,
To the Evening Star,601
Song,601
Song,602
Song,602
Mad Song,603
To the Muses,604
Extracts from Songs of Innocence:,
Introduction,604
The Lamb,605
Night,605
Extracts from Songs of Experience:,
"Ah, Sunflower",607
The Tiger,607
The Angel,608
