Title,Page
Joseph Addison (1672-1719),1
Extract from The Letter from Italy,3
The Campaign,4
William Walsh (1663-1708),6
To His Book (1691),8
Sonnet,8
The Despairing Lover,9
William Congreve (1670-1729),10
Amoret,12
Song,12
Sir Samuel Garth (1660-1718),13
Extracts from The Dispensary,14
Matthew Prior (1664-1721),17
The Secretary,20
"To a Child of Quality, Five Years Old",21
A Song,22
To a Lady,22
An Ode,23
Cupid Mistaken,24
A Better Answer,24
A Simile,25
Epigram,26
Another,26
For my own Tombstone,26
"Lady Winchilsea (1660 about,-1720)",27
To the Nightingale,29
The Tree,30
A Nocturnal Reverie,31
Extract from An Ode to the Spleen,32
In Answer to Mr. Pope,33
Jonathan Swift (1667-1745),34
A Description of the Morning,39
"Horace, Book IV, Ode IX. Addressed to Archbishop King, 1718",39
Apollo's Edict. Occasioned by 'News from Parnassus',40
Extract from Cadenus and Vanessa,42
The Beasts' Confession,44
The Day of Judgement,50
Extracts from Verses on the Death of Dr. Swift,50
Alexander Pope (1688-1744),55
Extract from The Essay on Criticism,70
"The Rape of the Lock, Canto II",73
Canto III,77
"Extract from The Iliad, Book VIII",82
Elegy to the Memory of an Unfortunate Lady,83
Extracts from the Essay on Man:,
Book I,85
Book IV,91
"Moral Essays, I",97
Epistle to Dr. Arbuthnot,103
From the First Epistle of the Second Book of Horace imitated. To Augustus,114
Extract from the Epilogue to the Satires,123
"from the Dunciad, Book IV",126
Conclusion of the Dunciad,127
Ambrose Philips (1671-1749),130
Extract from the Ode to Miss Carteret,131
To Miss Charlotte Pulteney in her mother's arms,132
Thomas Parnell (1679-1718),133
Extract from A Night-Piece on Death,135
A Hymn to Contentment,136
The Hermit,138
John Gay (1688-1732),145
Extract from The Shepherd's Week,148
A Ballad,149
The Hare with many Friends,150
Black-eyed Susan,152
Thomas Tickell (1686-1740),154
"To the Earl of Warwick, on the Death of Mr. Addison",156
Allan Ramsay (1686-1758),159
Extracts from The Gentle Shepherd:,
Jenny and Peggy,163
Patie and Peggy,165
"Through the Wood, Laddie",166
An thou were my ain thing,167
James Thomson (1700-1748),168
Extracts from The Seasons:,
"A Snow Scene, from 'Winter'",173
"The Sheep-washing, from 'Summer'",174
"The Coming of the Rain, from 'Spring'",175
"Storm in Harvest, from 'Autumn'",176
To her I love,178
Extracts from the Castle of Indolence. Book I,178
John Armstrong (1709-1779),183
"Extract from The Art of Preserving Health, Book III",185
Book IV,185
"Taste, an Epistle to a Young Critic",187
William Somerville (1677-1742),189
"Extract from The Chase, Book I",191
Book II,192
Matthew Green (1696-1737),194
Extracts from The Spleen,197
On Barclay's Apology for the Quakers,203
John Dyer (1698?-1758),206
Grongar Hill,210
"Extracts from The Fleece, Book I",214
Robert Blair (1699-1746),217
Extracts from The Grave:,
Self Murder,219
Omnes eodem cogimur,219
The Resurrection,221
Edward Young (1684-1765),222
"Extract from The Last Day, Book I",225
"The Old Coquette (from Satire V, on Women)",225
Extracts from Night Thoughts:,
"Procrastination, from Night I",226
"The Death of Friends, from Night III",228
"Aspiration, from Night IV",228
"The Stream of Life, from Night V",229
John Byrom (1691-1763),230
The Nimmers,233
Careless Content,234
On the Origin of Evil,236
Epigrams,238
Richard Glover (1712-1785),239
"Polydorus and Maron (from Leonidas, Book IX)",241
Ballad of Admiral Hosier's Ghost,242
Samuel Johnson (1709-1784),245
Thales' reasons for leaving London (from London),248
Extracts from The Vanity of Human Wishes:,
The Rise and Fall of Wolsey,249
The True Objects of Desire,250
"Prologue spoken at the opening of the Drury Lane Theatre, 1747",251
Prologue to the Comedy of A Word to the Wise,253
"John Wesley (1703-1791), Charles Wesley (1708-1788)",254
Charles Wesley:,
Christmas Hymn,260
Easter Hymn,261
"Christ, the Refuge of the Soul",262
Christ our Example,264
Wrestling Jacob,265
Catholic Love,267
John Wesley:,
An Hymn for Seriousness,269
William Shenstone (1714-1763),271
Suffering and Sympathy (from The Schoolmistress),273
Pastoral Ballad,274
The Dying Kid,275
Much Taste and Small Estate (from The Progress of Taste),276
William Collins (1721-1759),282
Ode to Liberty,283
Ode,287
Ode to Evening,287
The Passions,289
Ode on the Death of Mr. Thomson,292
An Ode on the Popular Superstitions of the Highlands of Scotland,294
Dirge in Cymbeline,300
Thomas Gray (1716-1771),302
Ode on the Spring,317
Ode on a distant prospect of Eton College,318
Hymn to Adversity,321
