title,page_number
RICHARD ALSOP,54
"Echo, No. 1",58
Verses to the Shearwater,60
The Incantation of Ulfo,61
THEODORE DWIGHT,67
African Distress,67
Echo No. 14,69
Lines on the Death of Washington,71
Lines to a Mother,73
SARAH W. MORTON,75
The African Chief,75
JOSIAS L. ARNOLD,77
A Modern Eclogue,77
The Warrior's Death Song,80
Fragment,81
Song,82
WILLIAM BOYD,83
Woman,83
WILLIAM CLIFFTON,86
Mary will Smile,87
To a Robin,88
To Fancy,89
A Flight of Fancy,90
ROBERT T. PAINE,93
Adams and Liberty,96
The Street was a Ruin,98
Ode for the Faustus Association,99
JOHN LATHROP,101
Speech of Canonicus,102
JOSEPH STORY,109
The Power of Solitude,109
DAVID EVERETT,113
A Branch of the Maple,113
THOMAS G. FESSENDEN,114
Elegy on the Death of Washington,116
An Ode,117
Tabitha Towzer,118
Signior Squeak's Dancing Advertisement,120
JOHN B. LINN,121
The Powers of Genius,124
JOHN SHAW,126
The Autumnal Flower,128
Song,129
WILLIAM L. PIERCE,130
The Year,130
LUCIUS M. SARGENT,134
The Plunderer's Grave,134
WILLIAM RAY,137
Tripoli,140
The Way to be Happy,141
Village Greatness,143
WILLIAM CRAFTS,144
Rapids in Love,144
Serenade Song,145
SELLECK OSBORN,145
The Ruins,147
The Quarrels of Love,147
The Sailor,148
WASHINGTON ALLSTON,149
The Paint King,150
WILLIAM MAXWELL,155
The Revery,155
The Prize,156
Tea,158
To a Fair Lady,159
ROBERT S. COFFIN,159
Song,160
WILLIAM B. WALTER,161
Romance,161
RICHARD DABNEY,166
The Spring of Life,166
A Western War-Song,168
The Heroes of the West,169
Turn not to the East,170
To a Lady,171
WASHINGTON IRVING,172
The Falls of the Passaic,173
HENRY T. FARMER,174
The Battle of the Isle,174
JAMES K. PAULDING,179
The Backwoodsman,180
PAUL ALLEN,185
"Noah, Canto II",187
CRYSTALINA,194
LYDIA H. SIGOURNEY,204
Excuse for not fulfilling an engagement,207
The Coral Insect,208
Death of an Infant,209
With Wild Flowers to a Sick Friend,210
Missolonghi,210
Burial of the Young,212
To the Moon,214
A Vision of the Alps,215
Connecticut River,220
Flora's Party,222
Musing Thoughts,226
ROBERT C. SANDS,228
Yamoyden,229
ROBERT DINSMOOR,240
The Braes of Glenniffer,240
SAMUEL WOODWORTH,241
The Bucket,242
The Landsend,243
Love's Eyes,244
The Pride of the Valley,244
Wreath of Love,245
JOHN PIERPONT,246
Airs of Palestine,250
The Pilgrim Fathers,268
Warren's Address to the American Soldiers,269
On Laying the Corner Stone of the Bunker Hill Monument,269
Independence,270
For a Lady's Album,271
HENRY PICKERING,272
To a Beautiful Lake,273
Daphne,275
Flowers,277
I Thought it Slept,279
To the Fringilla Melodia,280
The Waterfall,281
Descriptive Sonnets,283
HENRY C. KNIGHT,285
The Country Oven,285
F. S. KEY,288
The Star-Spangled Banner,288
KATHARINE A. WARE,290
There is a Voice,291
Greece,291
The Parting,293
SARAH J. HALE,296
The Father's Choice,296
The Victor's Crown,298
The Light of Home,300
The Gifts,300
The Mother to her Child,302
ENOCH LINCOLN,303
The Village,303
JOHN C. M'CALL,314
The Troubadour,315
EDWIN C. HOLLAND,328
The Pillar of Glory,328
Rise Columbia,330
DANIEL BRYAN,331
Lafayette,331
ALONZO LEWIS,332
Death Song,332
The Minstrel's Love,333
The Wanderer of Africa,334
NATHANIEL A. HAVEN,335
Lines on Frederic the Great,335
The Purse of Charity,336
Autumn,336
JAMES N. BARKER,337
Little Red Riding Hood,338
GEORGE W. DOANE,341
That Silent Moon,342
Oh! that I had Wings like a Dove,343
Lines on Sunset,344
Spirit of Spring,346
On a very old Wedding Ring,347
The Cloud Bridge,348
NATHANIEL H. WRIGHT,349
The Isle of Flowers,349
The Star of Bethlehem,350
SOLYMAN BROWN,351
Lady Byron to her Husband,351
The Emigrant's Farewell,353
JOSEPH R. DRAKE,354
The American Flag,354
JAMES A. HILLHOUSE,356
"Hadad, Scene III",358
An Apologue,363
THOMAS WELLS,365
At Musing Hour,366
Solitude,366
A Vision,369
The Battle of New Orleans,371
Sonnet,373
WILLIAM B. TAPPAN,373
Retrospection,373
Why should we sigh?,374
When Death shall Lay,374
O come from a World,375
To the North Star,376
SAMUEL H. JENKS,377
O! may we not Weep,377
The Patriot's Grave,378
Powers of Rhyme,379
ANTHONY BLEECKER,381
On revisiting the Cottage of Rosa,382
Trenton Falls,382
Jungfrau Spaiger's Apostrophe to her Cat,384
Epitaph of Mornai du Plessis,386
G. A. GAMAGE,386
My Early Day,386
ALBERT G. GREENE,388
Lines,388
Lucifer,393
WILLIAM H. BRADLEY,394
Giuseppino,394
SAMUEL DEANE,398
The Populous Village,398
SAMUEL GILMAN,404
History of a Ray of Light,404
