title,page_number
William Butler Yeats (1865- ),175
The Lake Isle of Innisfree,178
Aedh Wishes for the Cloths of Heaven,178
The Song of Wandering Aengus,178
Aedh Tells of the Rose in His Heart,179
Fairy Song,179
When You Are Old,179
The Cap and Bells,180
The Indian upon God,180
An Old Song Resung,181
The Rose of the World,181
The Sorrow of Love,181
The Song of the Old Mother,182
The Ballad of Father Gilligan,182
The Wild Swans at Coole,182
Leda and the Swan,183
Sailing to Byzantium,184
Among School Children,184
The Leaders of the Crowd,186
Herbert Trench (1865-1923),186
I Heard a Soldier,187
Song,187
"Come, Let Us Make Love Deathless",188
Rudyard Kipling (1865-1936),188
Gunga Din,190
Danny Deever,192
Mandalay,193
"""Fuzzy-Wuzzy""",194
Tommy,195
The Ladies,196
Boots,197
The Return,198
The Conundrum of the Workshops,199
Evarra and His Gods,200
La Nuit Blanche,202
An Astrologer's Song,203
Recessional,203
The Last Chantey,204
Sestina of the Tramp-Royal,205
The Land,206
For to Admire,208
"""Æ"" (1867-1935)",209
The Great Breath,209
Frolic,210
The Secret,210
The Unknown God,210
Continuity,210
Richard Le Gallienne (1867- ),211
A Ballad of London,211
Regret,211
Ernest Dowson (1867-1900),212
A Last Word,212
Non Sum qualis Eram Bonae sub Regno Cynarae,213
Spleen,213
To One in Bedlam,214
Extreme Unction,214
You Would Have Understood Me,214
Villanelle of Marguerites,215
Envoy,216
Lionel Johnson (1867-1902),216
Mystic and Cavalier,217
To Morfydd,218
By the Statue of King Charles at Charing Cross,218
To a Traveler,219
The Dark Angel,219
The Precept of Silence,220
Stephen Phillips (1868-1915),220
A Dream,221
Beautiful Lie the Dead,221
To Milton—Blind,221
Laurence Binyon (1869- ),221
The Little Dancers,222
"O World, Be Nobler",222
Nothing Is Enough,222
Beauty,223
A Song,223
The House That Was,223
Charlotte Mew (1869-1928),224
In the Fields,225
Sea Love,225
I Have Been Through the Gates,225
To a Child in Death,226
Song,226
The Farmer's Bride,227
Beside the Bed,228
"From ""Madeleine in Church""",228
Again,229
Old Shepherd's Prayer,229
The Trees Are Down,230
Alfred Douglas (1870- ),231
The Green River,231
"From ""The City of the Soul""",231
Night Coming Out of a Garden,232
The Dead Poet,232
Sonnet on the Sonnet,233
T. Sturge Moore (1870- ),233
Silence Sings,233
A Duet,234
The Dying Swan,234
Hilaire Belloc (1870- ),235
The South Country,235
Ha'nacker Mill,237
Four Beasts,237
The Big Baboon,237
The Yak,237
The Lion,238
The Tiger,238
Lines to a Don,238
Sonnet,239
Six Epigrams,239
"On Lady Poltagrue, a Public Peril",239
On a Dead Hostess,239
On Hygiene,239
On His Books,239
Epitaph on the Politician,239
For False Heart,239
W. H. Davies (1870- ),240
The Hour of Magic,242
A Greeting,242
Days Too Short,242
The Moon,242
The Villain,242
The Example,243
The Two Stars,243
The Dog,243
Jenny Wren,243
Ambition,243
The Hermit,243
When Yon Full Moon,244
Sheep,244
The Mind's Liberty,245
A Great Time,245
The Elements,245
Leaves,245
Songs of Joy,245
To a Lady Friend,246
Leisure,246
J. M. Synge (1871-1909),246
Prelude,247
Beg-Innish,247
In Kerry,248
A Question,248
On an Island,248
Dread,249
In May,249
A Translation from Petrarch,249
To the Oaks of Glencree,250
Eva Gore-Booth (1871- ),250
The Waves of Breffny,250
Walls,250
Moira O'Neill,251
A Broken Song,251
Beauty's a Flower,251
Ralph Hodgson (1872- ),252
Reason,253
Eve,253
"Time, You Old Gypsy Man",254
The Birdcatcher,254
The Moor,254
After,254
The Song of Honor,255
"The Late, Last Rook",257
The Bull,257
The Bells of Heaven,259
The Hammers,259
Stupidity Street,259
The Mystery,259
Ford Madox (Hueffer) Ford (1873- ),260
Gray Matter,260
"""There Shall Be More Joy . . .""",262
A House,262
Walter de la Mare (1873- ),268
The Listeners,269
An Epitaph,270
The Truants,270
Old Susan,271
Martha,271
Someone,271
The Sleeper,271
The Old Men,272
At the Keyhole,272
The Mocking Fairy,272
Sam,273
Berries,273
All But Blind,274
Summer Evening,274
There Blooms No Bud in May,274
The Scarecrow,275
The Ghost,275
Silver,275
The Song of Shadows,275
Nod,276
G. K. Chesterton (1874- ),276
Lepanto,277
A Prayer in Darkness,280
Elegy in a Country Churchyard,281
