author,title,page
Edward Thomas,There's Nothing Like the Sun,530
Edward Thomas,The Word,530
Edward Thomas,Sowing,531
Edward Thomas,Adlestrop,532
Edward Thomas,The Manor Farm,532
Edward Thomas,Beauty,533
Eunice Tietjens,The Bacchante to Her Babe,534
Eunice Tietjens,The Steam Shovel,536
Eunice Tietjens,The Great Man,537
Eunice Tietjens,Completion,538
Eunice Tietjens,On the Height,539
Eunice Tietjens,Parting after a Quarrel,539
Eunice Tietjens,The City Wall,540
Eunice Tietjens,The Most-sacred Mountain,541
Ridgely Torrence,The Bird and the Tree,542
Ridgely Torrence,The Son,543
Charles Hanson Towne,Beyond the Stars,544
Mark Turbyfill,Strangers,546
Mark Turbyfill,Things Not Seen,547
Mark Turbyfill,Prayer for Sophistication,547
Mark Turbyfill,A Song for Souls Under Fire,547
Mark Turbyfill,Shapes,548
Mark Turbyfill,Journey,549
Mark Turbyfill,Benediction,549
Jean Starr Untermeyer,Lake Song,550
Jean Starr Untermeyer,Clay Hills,550
Jean Starr Untermeyer,Sinfonia Domestica,551
Louis Untermeyer,Landscapes,551
Louis Untermeyer,"""Feuerzauber""",553
Louis Untermeyer,On the Birth of a Child,553
Louis Untermeyer,Irony,554
Louis Untermeyer,Infidelity,554
Louis Untermeyer,Words for a Jig,555
Allen Upward,Scented Leaves from a Chinese Jar: The Acacia Leaves,556
Allen Upward,Scented Leaves from a Chinese Jar: The Bitter Purple Willows,557
Allen Upward,Scented Leaves from a Chinese Jar: The Coral Fisher,557
Allen Upward,Scented Leaves from a Chinese Jar: The Diamond,557
Allen Upward,Scented Leaves from a Chinese Jar: The Estuary,557
Allen Upward,Scented Leaves from a Chinese Jar: The Intoxicated Poet,557
Allen Upward,Scented Leaves from a Chinese Jar: The Jonquils,557
Allen Upward,Scented Leaves from a Chinese Jar: The Marigold,557
Allen Upward,Scented Leaves from a Chinese Jar: The Mermaid,558
Allen Upward,Scented Leaves from a Chinese Jar: The Middle Kingdom,558
Allen Upward,Scented Leaves from a Chinese Jar: The Milky Way,558
Allen Upward,Scented Leaves from a Chinese Jar: The Onion,558
Allen Upward,Scented Leaves from a Chinese Jar: The Sea-Shell,558
Allen Upward,Scented Leaves from a Chinese Jar: The Stupid Kite,558
Allen Upward,Scented Leaves from a Chinese Jar: The Windmill,558
Allen Upward,Scented Leaves from a Chinese Jar: The Word,559
John V. A. Weaver,Drug Store,559
John V. A. Weaver,Nocturne,561
John V. A. Weaver,Two Ways,561
Winifred Welles,Trinket,562
Winifred Welles,Language,562
Winifred Welles,The Last Night of Winter,563
Glenway Wescott,The Poet at Night-fall,564
Glenway Wescott,Without Sleep,564
Glenway Wescott,These Are the Subtle Rhythms,565
Glenway Wescott,"I, in my Pitiful Flesh",565
John Hall Wheelock,Sunday Evening in the Common,566
John Hall Wheelock,Spring,566
John Hall Wheelock,Like Music,567
John Hall Wheelock,The Thunder-Shower,567
John Hall Wheelock,Song,568
John Hall Wheelock,Alone,568
John Hall Wheelock,Nirvana,568
John Hall Wheelock,Triumph of the Singer,569
Anna Wickham,The Singer,570
Anna Wickham,Gift to a Jade,570
Anna Wickham,The Contemplative Quarry,570
Anna Wickham,The Silence,570
Anna Wickham,The Tired Man,571
Anna Wickham,The Recompense,571
Margaret Widdemer,The Beggars,572
Margaret Widdemer,Teresina's Face,573
Margaret Widdemer,Greek Folk Song,573
Florence Wilkinson,Our Lady of Idleness,574
Florence Wilkinson,Students,576
Marguerite Wilkinson,A Woman's Beloved,578
Marguerite Wilkinson,An Incantation,579
William Carlos Williams,Sicilian Emigrant's Song,580
William Carlos Williams,Peace on Earth,580
William Carlos Williams,The Shadow,581
William Carlos Williams,Metric Figure,582
William Carlos Williams,Sub Terra,582
William Carlos Williams,Slow Movement,583
William Carlos Williams,Postlude,584
William Carlos Williams,Love Song,585
William Carlos Williams,Man in a Room,586
William Carlos Williams,Willow Poem,586
William Carlos Williams,Winter Trees,587
William Carlos Williams,January,587
William Carlos Williams,The Widow's Lament in Springtime,587
William Carlos Williams,To Waken an Old Lady,588
Yvor Winters,"Two Songs of Advent, I-II",589
Yvor Winters,Hawk's Eyes,589
Yvor Winters,The Walker,589
Yvor Winters,The Immobile Wind,590
Yvor Winters,The Priesthood,590
Yvor Winters,Death Goes Before Me,590
Charles Erskine Scott Wood,"""The Poet in the Desert""-Extracts from the Prologue",591
Edith Wyatt,On the Great Plateau,594
Edith Wyatt,Summer Hail,595
Edith Wyatt,To F. W.,596
Edith Wyatt,A City Afternoon,598
Elinor Wylie,Beauty,599
Elinor Wylie,The Eagle and the Mole,599
Elinor Wylie,Velvet Shoes,600
Elinor Wylie,Atavism,601
William Butler Yeats,Ego Dominus Tuus,601
William Butler Yeats,The Cold Heaven,604
William Butler Yeats,That the Night Come,604
William Butler Yeats,No Second Troy,605
William Butler Yeats,To a Friend Whose Work Has Come to Nothing,605
William Butler Yeats,The Collarbone of a Hare,606
William Butler Yeats,The Dawn,606
William Butler Yeats,The Magi,607
William Butler Yeats,The Fisherman,607
William Butler Yeats,The Wild Swans at Coole,608
Marya Zaturensky,Memories,609
Marya Zaturensky,Song of a Factory Girl,610
Marya Zaturensky,An Old Tale,610
,Bibliography,613
