author,title,page
Lee Wilson Dodd,The Comrade,119
Glenn Ward Dresbach,Songs I-IV,120
John Drinkwater,Sunrise on Rydal Water,121
John Drinkwater,Reciprocity,123
John Drinkwater,Invocation,123
Louise Driscoll,The Metal Checks,124
Dorothy Dudley,La Rue de la Montagne Sainte-Genevieve,128
Helen Dudley,To One Unknown,129
Helen Dudley,Song,130
Max Eastman,Diogenes,130
Max Eastman,In March,130
Max Eastman,At the Aquarium,131
T. S. Eliot,"Portrait of a Lady, I-III",131
T. S. Eliot,La Figlia Che Piange,135
T. S. Eliot,Sweeney among the Nightingales,136
T. S. Eliot,Whispers of Immortality,137
Donald Evans,In the Vices,138
Donald Evans,En Monocle,139
Donald Evans,In the Gentlemanly Interest,139
Donald Evans,Epicede,140
Arthur Davison Ficke,Meeting,140
Arthur Davison Ficke,Among Shadows,141
Arthur Davison Ficke,The Three Sisters,141
Arthur Davison Ficke,Portrait of an Old Woman,142
Arthur Davison Ficke,I am Weary of Being Bitter,142
Arthur Davison Ficke,"From ""Sonnets of a Portrait Painter""",143
Arthur Davison Ficke,Like Him Whose Spirit,144
Arthur Davison Ficke,Three Sonnets: Perspective of Co-ordination,144
Arthur Davison Ficke,Three Sonnets: World Beyond World,145
Arthur Davison Ficke,Three Sonnets: Leaf-movement,145
Hildegarde Flanner,This Morning,146
Hildegarde Flanner,Discovery,146
Hildegarde Flanner,Birds,147
Hildegarde Flanner,Communion,148
John Gould Fletcher,"Irradiations, I-IV",149
John Gould Fletcher,Arizona Poems: Mexican Quarter,150
John Gould Fletcher,Arizona Poems: Rain in the Desert,152
John Gould Fletcher,"The Blue Symphony, I-V",152
John Gould Fletcher,Down the Mississippi: Embarkation,156
John Gould Fletcher,Down the Mississippi: Heat,156
John Gould Fletcher,Down the Mississippi: Full Moon,157
John Gould Fletcher,Down the Mississippi: The Moon's Orchestra,157
John Gould Fletcher,Down the Mississippi: Stevedores,158
John Gould Fletcher,Down the Mississippi: Night Landing,158
John Gould Fletcher,Down the Mississippi: The Silence,158
F. S. Flint,London,159
F. S. Flint,The Swan,160
F. S. Flint,In the Garden,160
Moireen Fox,"Laidain to Curithir, I-V",161
Florence Kiper Frank,The Jewish Conscript,163
Florence Kiper Frank,The Movies,163
Florence Kiper Frank,You,164
Florence Kiper Frank,Sleep the Mother,164
Robert Frost,Mending Wall,165
Robert Frost,After Apple-picking,166
Robert Frost,My November Guest,168
Robert Frost,Mowing,168
Robert Frost,Storm Fear,169
Robert Frost,Going for Water,169
Robert Frost,The Code,170
Robert Frost,A Hillside Thaw,173
Robert Frost,An Old Man's Winter Night,174
Robert Frost,Fire and Ice,175
Robert Frost,The Aim Was Song,176
Robert Frost,The Hill Wife: Loneliness,176
Robert Frost,The Hill Wife: House Fear,177
Robert Frost,The Hill Wife: The Smile,177
Robert Frost,The Hill Wife: The Oft-repeated Dream,177
Robert Frost,The Hill Wife: The Impulse,178
Hamlin Garland,To a Captive Crane,179
Hamlin Garland,The Mountains are a Lonely Folk,179
Hamlin Garland,Magic,179
Wilfrid Wilson Gibson,Color,180
Wilfrid Wilson Gibson,Oblivion,180
Wilfrid Wilson Gibson,Tenants,181
Wilfrid Wilson Gibson,Gold,181
Wilfrid Wilson Gibson,On Hampstead Heath,182
Wilfrid Wilson Gibson,Battle: The Going,182
Wilfrid Wilson Gibson,Battle: The Joke,183
Wilfrid Wilson Gibson,Battle: In the Ambulance,183
Wilfrid Wilson Gibson,Battle: Hit,183
Wilfrid Wilson Gibson,Battle: The Housewife,184
Wilfrid Wilson Gibson,Battle: Hill-born,184
Wilfrid Wilson Gibson,Battle: The Fear,184
Wilfrid Wilson Gibson,Battle: Back,185
Richard Butler Glaenzer,Star-magic,185
Douglas Goldring,Journeys: Venice,186
Douglas Goldring,Journeys: In France,186
Douglas Goldring,Journeys: In Picardy,187
Douglas Goldring,Journeys: Voyages,187
Hermann Hagedorn,Early Morning at Bargis,188
Hermann Hagedorn,Doors,188
Hermann Hagedorn,Departure,189
Hermann Hagedorn,Broadway,189
Hazel Hall,Two Sewing,190
Hazel Hall,Instruction,190
Hazel Hall,My Needle Says,191
Hazel Hall,One by One,191
Thomas Hardy,She Hears the Storm,192
Thomas Hardy,The Voice,193
Thomas Hardy,In the Moonlight,193
Thomas Hardy,The Man He Killed,194
Thomas Hardy,"In Time of ""The Breaking of Nations""",194
Thomas Hardy,The Two Houses,195
DuBose Heyward,The Mountain Woman,197
DuBose Heyward,A Yoke of Steers,198
Ralph Hodgson,The Mystery,198
Ralph Hodgson,"Three Poems, I-III",199
Ralph Hodgson,Stupidity Street,199
Horace Holley,Creative,200
Horace Holley,Twilight at Versailles,200
Horace Holley,Lovers,200
Helen Hoyt,Ellis Park,200
Helen Hoyt,The New-born,201
Helen Hoyt,Rain at Night,202
Helen Hoyt,The Lover Sings of a Garden,202
Helen Hoyt,Since I Have Felt the Sense of Death,203
Helen Hoyt,Happiness Betrays Me,203
Helen Hoyt,Memory,204
Helen Hoyt,Arches,204
Helen Hoyt,The Stone-age Sea,204
Ford Madox Hueffer,"Antwerp, I-VI",205
Ford Madox Hueffer,Footsloggers I-II and L'Envoi,209
Orrick Johns,Songs of Deliverance: I. The Song of Youth,210
Orrick Johns,Songs of Deliverance: II. Virgins,212
Orrick Johns,Songs of Deliverance: III. No Prey Am I,212
Orrick Johns,Little Things,215
Orrick Johns,The Tree Toad,215
Orrick Johns,The Interpreter,216
Orrick Johns,Wild Plum,217
Orrick Johns,The Answer,217
Orrick Johns,The Door,218
Fenton Johnson,Three Negro Spirituals: The Lost Love,218
Fenton Johnson,Three Negro Spirituals: Who is That a-walking in the Corn?,219
Fenton Johnson,Three Negro Spirituals: The Lonely Mother,219
James Joyce,Simples,220
James Joyce,She Weeps Over Rahoon,220
James Joyce,On the Beach at Fontana,221
James Joyce,Alone,221
James Joyce,All Day I Hear,221
Aline Kilmer,My Mirror,222
Aline Kilmer,I Shall Not Be Afraid,222
Aline Kilmer,One Shall Be Taken and the Other Left,223
Aline Kilmer,For All Ladies of Shalott,223
Aline Kilmer,The Heart Knoweth Its Own Bitterness,224
Joyce Kilmer,Trees,224
Joyce Kilmer,Easter,224
Joyce Kilmer,Poets,225
Alfred Kreymborg,America,225
Alfred Kreymborg,Old Manuscript,226
Alfred Kreymborg,Cezanne,226
Alfred Kreymborg,Parasite,226
Alfred Kreymborg,Pasts,227
Alfred Kreymborg,Dirge,227
Alfred Kreymborg,Indian Sky,228
William Laird,Traumerei at Ostendorff's,229
William Laird,A Very Old Song,230
D. H. Lawrence,A Woman and Her Dead Husband,231
D. H. Lawrence,Fireflies in the Corn,233
D. H. Lawrence,Green,234
D. H. Lawrence,Grief,234
D. H. Lawrence,Service of All the Dead,234
D. H. Lawrence,Nostalgia,235
D. H. Lawrence,A Baby Asleep after Pain,236
D. H. Lawrence,Moonrise,236
D. H. Lawrence,Tommies in the Train,237
D. H. Lawrence,Resurrection,238
Agnes Lee,Motherhood,240
Agnes Lee,A Statue in a Garden,241
Agnes Lee,On the Jail Steps,242
Agnes Lee,Her Going,243
Agnes Lee,An Old Woman with Flowers,245
Agnes Lee,Old Lizette on Sleep,245
Agnes Lee,Mrs. Malooly,246
Agnes Lee,The Sweeper,247
Agnes Lee,The Ilex Tree,247
Muna Lee,A Song of Happiness,247
Muna Lee,Foot-notes I-IV,248
William Ellery Leonard,Indian Summer,249
Maurice Leseman,A Man Walks in the Wind,251
Vachel Lindsay,General William Booth Enters into Heaven,253
Vachel Lindsay,The Eagle that is Forgotten,254
Vachel Lindsay,The Congo (A Study of the Negro Race): I. Their Basic Savagery,256
Vachel Lindsay,The Congo (A Study of the Negro Race): II. Their Irrepressible High Spirits,257
Vachel Lindsay,The Congo (A Study of the Negro Race): III. The Hope of Their Religion,259
Vachel Lindsay,Aladdin and the Jinn,260
Vachel Lindsay,The Chinese Nightingale,261
Vachel Lindsay,The Leaden-eyed,268
Vachel Lindsay,Abraham Lincoln Walks at Midnight,268
Vachel Lindsay,How Samson Bore Away the Gates of Gaza,269
Vachel Lindsay,John Brown,272
Haniel Long,The Herd Boy,274
Haniel Long,Dead Men Tell No Tales,275
Haniel Long,A Book on Economics,275
Haniel Long,The Cause of this I Know Not,276
Haniel Long,His Deaths,276
Amy Lowell,Patterns,277
Amy Lowell,1777: I. The Trumpet-Vine Arbor,280
Amy Lowell,1777: II. The City of Falling Leaves,281
Amy Lowell,Venus Transiens,285
Amy Lowell,A Lady,285
Amy Lowell,Chinoiseries: Reflections,286
Amy Lowell,Chinoiseries: Falling Snow,286
Amy Lowell,Chinoiseries: Hoar-frost,287
Amy Lowell,Solitaire,287
Amy Lowell,A Gift,287
Amy Lowell,Red Slippers,288
Amy Lowell,Apology,289
Amy Lowell,Meeting-house Hill,290
Amy Lowell,Ombre Chinoise,290
Amy Lowell,Night Clouds,291
Amy Lowell,The Garden by Moonlight,291
Amy Lowell,Four Sides to a House,292
Percy MacKaye,Old Age,295
Percy MacKaye,"Song from ""Mater""",295
Frederic Manning,Sacrifice,296
Frederic Manning,At Even,297
Frederic Manning,The Sign,298
John Masefield,Ships,299
John Masefield,Cargoes,302
John Masefield,Watching by a Sick-Bed,302
John Masefield,"What am I, Life?",303
John Masefield,The Passing Strange,303
John Masefield,The Frontier,306
Edgar Lee Masters,Spoon River Anthology: The Hill,308
Edgar Lee Masters,Spoon River Anthology: Mollie McGee,309
Edgar Lee Masters,Spoon River Anthology: Daisy Fraser,310
Edgar Lee Masters,Spoon River Anthology: Hare Drummer,310
Edgar Lee Masters,Spoon River Anthology: Doc Hill,311
Edgar Lee Masters,Spoon River Anthology: Fiddler Jones,311
Edgar Lee Masters,Spoon River Anthology: Thomas Rhodes,312
Edgar Lee Masters,Spoon River Anthology: Editor Whedon,312
Edgar Lee Masters,Spoon River Anthology: Seth Compton,313
Edgar Lee Masters,Spoon River Anthology: Henry C. Calhoun,314
Edgar Lee Masters,Spoon River Anthology: Perry Zoll,314
Edgar Lee Masters,Spoon River Anthology: Archibald Higbie,315
Edgar Lee Masters,Spoon River Anthology: Father Malloy,315
Edgar Lee Masters,Spoon River Anthology: Lucinda Matlock,316
Edgar Lee Masters,Spoon River Anthology: Anne Rutledge,316
Edgar Lee Masters,Spoon River Anthology: William H. Herndon,317
Edgar Lee Masters,Spoon River Anthology: Rutherford McDowell,317
Edgar Lee Masters,Spoon River Anthology: Arlo Will,318
Edgar Lee Masters,Spoon River Anthology: Aaron Hatfield,319
Edgar Lee Masters,Spoon River Anthology: Webster Ford,319
Edgar Lee Masters,Silence,320
Edgar Lee Masters,The Garden,322
Edgar Lee Masters,Desolate Scythia,324
Edgar Lee Masters,My Light With Yours,324
Edgar Lee Masters,Slip-shoe Lovey,325
Edgar Lee Masters,Christmas at Indian Point,326
Edgar Lee Masters,The Lake Boats,329
Charlotte Mew,The Farmer's Bride,332
Charlotte Mew,Beside the Bed,333
Alice Meynell,Maternity,334
Alice Meynell,Chimes,334
Max Michelson,O Brother Tree,335
Max Michelson,The Bird,336
Max Michelson,Storm,336
Max Michelson,A Hymn to Night,337
Max Michelson,Love Lyric,337
Edna St. Vincent Millay,God's World,338
Edna St. Vincent Millay,Ashes of Life,339
Edna St. Vincent Millay,The Shroud,339
Edna St. Vincent Millay,Travel,340
Edna St. Vincent Millay,Recuerdo,340
Edna St. Vincent Millay,Spring,341
Edna St. Vincent Millay,Epitaph,341
Edna St. Vincent Millay,Prayer to Persephone,341
Edna St. Vincent Millay,Chorus,342
Edna St. Vincent Millay,Sonnets,342
Harold Monro,Great City,345
Harold Monro,Youth in Arms,346
Harold Monro,The Strange Companion,347
Harold Monro,Real Property,348
Harriet Monroe,The Hotel,350
Harriet Monroe,The Turbine,351
Harriet Monroe,On the Porch,354
Harriet Monroe,The Wonder of It,355
Harriet Monroe,The Inner Silence,356
Harriet Monroe,Love Song,356
Harriet Monroe,A Farewell,357
Harriet Monroe,Lullaby,357
Harriet Monroe,Pain,358
Harriet Monroe,The Water Ouzel,359
Harriet Monroe,The Pine at Timber-Line,359
Harriet Monroe,Mountain Song,360
Harriet Monroe,Mother Earth,361
Harriet Monroe,Supernal Dialogue,363
Marianne Moore,That Harp You Play so Well,366
Marianne Moore,Talisman,366
Marianne Moore,"""Sun!""",367
Marianne Moore,A Graveyard,367
John G. Neihardt,Prayer for Pain,368
John G. Neihardt,Envoi,369
Robert Nichols,By the Wood,370
Robert Nichols,Nearer,371
Yone Noguchi,The Poet,372
Yone Noguchi,I Have Cast the World,372
Yone Noguchi,Hokku,372
Yone Noguchi,Lines,373
Grace Fallow Norton,Allegra Agonistes,373
Grace Fallow Norton,Make No Vows,374
Grace Fallow Norton,I Give Thanks,374
James Oppenheim,The Slave,375
James Oppenheim,The Lonely Child,376
James Oppenheim,Not Overlooked,376
James Oppenheim,The Runner in the Skies,377
Patrick Orr,Annie Shore and Johnnie Doon,377
Patrick Orr,In the Mohave,378
Seumas O'Sullivan,My Sorrow,378
Seumas O'Sullivan,Splendid and Terrible,379
Seumas O'Sullivan,The Others,379
Wilfred Owen,Strange Meeting,380
Wilfred Owen,Arms and the Boy,382
Wilfred Owen,The Anthem for Doomed Youth,382
Wilfred Owen,Apologia Pro Poemate Meo,383
Josephine Preston Peabody,"Cradle Song, I-III",384
Josephine Preston Peabody,The Cedars,386
Josephine Preston Peabody,A Song of Solomon,387
Padraic Pearse,Ideal,387
Padraic Pearse,Lullaby of a Woman of the Mountain,388
Padraic Pearse,Long to me thy Coming,389
Padraic Pearse,A Rann I Made,389
Ezra Pound,Doria,389
Ezra Pound,The Return,390
Ezra Pound,Piccadilly,390
Ezra Pound,N. Y.,391
Ezra Pound,The Coming of War: Actaeon,391
Ezra Pound,The Garden,392
Ezra Pound,Ortus,392
Ezra Pound,The Choice,393
Ezra Pound,The Garret,393
Ezra Pound,Dance Figure,394
Ezra Pound,"From ""Near Perigord""",395
Ezra Pound,An Immorality,396
Ezra Pound,The Study in Aesthetics,396
Ezra Pound,Further Instructions,397
Ezra Pound,"Villanelle: The Psychological Hour, I-III",398
Ezra Pound,Ballad of the Goodly Fere,399
Ezra Pound,Ballad for Gloom,401
Ezra Pound,La Fraisne,402
Ezra Pound,The River-Merchant's Wife: A Letter (from the Chinese of Li Po.),404
Ezra Pound,Exile's Letter (From the Chinese of Li Po),405
John Reed,Sangar,407
John Reed,Proud New York,410
Ernest Rhys,Dagonet's Canzonet,410
Ernest Rhys,A Song of Happiness,411
Lola Ridge,The Song,413
Lola Ridge,Iron Wine,414
Lola Ridge,Altitude,414
Lola Ridge,To E. A. R.,415
Lola Ridge,Debris,415
Lola Ridge,The Edge,415
Elizabeth Madox Roberts,The Pilaster,417
Elizabeth Madox Roberts,Water Noises,417
Elizabeth Madox Roberts,Strange Tree,418
Elizabeth Madox Roberts,My Heart,418
Edwin Arlington Robinson,The Master,419
Edwin Arlington Robinson,John Gorham,421
Edwin Arlington Robinson,Richard Cory,422
Edwin Arlington Robinson,"The Growth of Lorraine, I-II",423
Edwin Arlington Robinson,Cassandra,424
Edwin Arlington Robinson,"Demos, I-II",425
Edwin Arlington Robinson,Miniver Cheevy,426
Edwin Arlington Robinson,Eros Turannos,427
Edwin Arlington Robinson,Firelight,429
Edwin Arlington Robinson,Caput Mortuum,429
Edwin Arlington Robinson,The New Tenants,430
Edwin Arlington Robinson,Mr. Flood's Party,430
Isaac Rosenberg,If You are Fire,432
Isaac Rosenberg,Heart's First Word,432
Isaac Rosenberg,Poem,433
Isaac Rosenberg,Unnamed,433
Carl Sandburg,Chicago,434
Carl Sandburg,The Harbor,435
Carl Sandburg,Sketch,435
Carl Sandburg,Lost,436
Carl Sandburg,Jan Kubelik,436
Carl Sandburg,At a Window,436
Carl Sandburg,The Poor,437
Carl Sandburg,The Road and the End,438
Carl Sandburg,Killers,438
Carl Sandburg,Nocturne in a Deserted Brickyard,439
Carl Sandburg,Handfuls,439
Carl Sandburg,Under the Harvest Moon,440
Carl Sandburg,Choose,440
Carl Sandburg,Kin,441
Carl Sandburg,Places,441
Carl Sandburg,Joy,442
Carl Sandburg,The Great Hunt,442
Carl Sandburg,Our Prayer of Thanks,443
Carl Sandburg,Helga,443
Carl Sandburg,Gone,444
Carl Sandburg,Fire-logs,444
Carl Sandburg,Repetitions,445
Carl Sandburg,Calls,445
Carl Sandburg,Evening Waterfall,446
Carl Sandburg,Losers,446
Carl Sandburg,Old Timers,447
Carl Sandburg,Night Stuff,448
Carl Sandburg,Falltime,448
Carl Sandburg,Autumn Movement,448
Carl Sandburg,Prairie,449
Carl Sandburg,Prayers of Steel,449
Carl Sandburg,Grass,450
Carl Sandburg,Bringers,450
Carl Sandburg,Cool Tombs,450
Carl Sandburg,"Four Preludes on Playthings of the Wind, I-IV",451
Lew Sarett,The Blue Duck,453
Lew Sarett,Beat against me no Longer,456
Siegfried Sassoon,The Kiss,458
Siegfried Sassoon,A Mystic as Soldier,458
Siegfried Sassoon,Autumn,459
Siegfried Sassoon,Does it Matter?,459
Siegfried Sassoon,Sick Leave,460
Siegfried Sassoon,Everyone Sang,460
Alan Seeger,I have a Rendezvous with Death,461
Marjorie Allen Seiffert,"The Old Woman, I-II",462
Marjorie Allen Seiffert,A Japanese Vase Wrought in Metals,465
Marjorie Allen Seiffert,Lorenzo's Bas-relief for a Florentine Chest,466
Marjorie Allen Seiffert,Interior,467
Marjorie Allen Seiffert,"Maura, I-VI",467
Clara Shanafelt,To Thee,469
Clara Shanafelt,Caprice,470
Clara Shanafelt,A Vivid Girl,470
Clara Shanafelt,Invocation,470
Clara Shanafelt,Pastel,470
Clara Shanafelt,A Gallant Woman,471
Clara Shanafelt,Scherzo,471
Frances Shaw,Who Loves the Rain,472
Frances Shaw,The Harp of the Wind,472
Frances Shaw,The Ragpicker,473
Frances Shaw,Cologne Cathedral,473
Frances Shaw,Star Thought,473
Frances Shaw,The Child's Quest,474
Frances Shaw,Little Pagan Rain Song,474
Frances Shaw,The Last Guest,475
William H. Simpson,In Arizona: Hopi Ghosts,475
William H. Simpson,In Arizona: Burdens,475
William H. Simpson,In Arizona: Bareback,476
William H. Simpson,In Arizona: Trees,476
William H. Simpson,In Arizona: Pity Not,477
Constance Lindsay Skinner,Songs of the Coast-dwellers: The Chief's Prayer after the Salmon Catch,477
Constance Lindsay Skinner,Songs of the Coast-dwellers: Song of Whip-plaiting,478
Constance Lindsay Skinner,Songs of the Coast-dwellers: No Answer is Given,479
Leonora Speyer,Mary Magdalene,482
Leonora Speyer,"Measure me, Sky",482
